p,b,f,s,u,r,eq,cash,mtm,real,unreal,fees,n,sett,w,l,trips,wr,dd,roi,mkts,open,t0,t1
sim-b016-066,batch-016,range_revert,range-revert-b016-066,panel_settled,723,9831.2100,9831.2100,0.0000,-168.7900,0.0000,126.9800,50,50,28,22,50,0.5600,4363.7900,-0.0169,50,0,1742702400,1788807600
sim-b011-002,batch-011,event_normalized,event-normalized-b011-002,panel_settled,724,9830.9500,9830.9500,0.0000,-169.0500,0.0000,6.7000,3,3,1,2,3,0.3333,169.0500,-0.0169,3,0,1759982400,1782273600
sim-b020-051,batch-020,rule_mixture_control,rule-mixture-control-b020-051,panel_settled,725,9827.0200,9827.0200,0.0000,-172.9800,0.0000,64.4100,34,34,23,11,34,0.6765,3183.9800,-0.0173,34,0,1742443200,1787842800
sim-b019-019,batch-019,ablation_delayed_entry,ablation-delayed-entry-b019-019,panel_settled,726,9826.9500,9826.9500,0.0000,-173.0500,0.0000,34.4800,17,17,10,7,17,0.5882,1387.0500,-0.0173,17,0,1742788800,1789531200
sim-b017-027,batch-017,fixed_contracts,fixed-contracts-b017-027,panel_settled,727,9826.7600,9826.7600,0.0000,-173.2400,0.0000,22.2400,16,16,10,6,16,0.6250,1073.2400,-0.0173,16,0,1742443200,1789185600
sim-b017-053,batch-017,payout_target_size,payout-target-size-b017-053,panel_settled,727,9826.7600,9826.7600,0.0000,-173.2400,0.0000,22.2400,16,16,10,6,16,0.6250,1073.2400,-0.0173,16,0,1742443200,1789185600
sim-b016-025,batch-016,tsmom_window,tsmom-window-b016-025,panel_settled,729,9825.8800,9825.8800,0.0000,-174.1200,0.0000,82.2000,35,35,21,14,35,0.6000,3168.1200,-0.0174,35,0,1744171200,1788865200
sim-b007-023,batch-007,stop_loss_favorite,stop-loss-favorite-b007-023,panel_settled,730,9824.5900,9824.5900,0.0000,-175.4100,0.0000,42.7100,24,4,3,11,14,0.2143,418.4100,-0.0175,14,0,1742443200,1789185600
sim-b007-011,batch-007,favorite_exit,favorite-exit-b007-011,panel_settled,731,9823.3700,9823.3700,0.0000,-176.6300,0.0000,57.2400,30,2,5,11,16,0.3125,179.1300,-0.0177,16,0,1742443200,1789185600
sim-b014-086,batch-014,time_pre_close_exit,time-pre-close-exit-b014-086,panel_settled,732,9821.7700,9821.7700,0.0000,-178.2300,0.0000,34.1000,18,14,10,6,16,0.6250,1267.0400,-0.0178,16,0,1742443200,1789185600
sim-b018-058,batch-018,exit_volatility_stop,exit-volatility-stop-b018-058,panel_settled,733,9819.8700,9819.8700,0.0000,-180.1300,0.0000,55.9800,27,5,4,12,16,0.2500,599.1300,-0.0180,16,0,1742443200,1789185600
sim-b007-017,batch-007,favorite_exit,favorite-exit-b007-017,panel_settled,734,9818.6100,9818.6100,0.0000,-181.3900,0.0000,56.6700,29,3,5,11,16,0.3125,307.3900,-0.0181,16,0,1742443200,1789185600
sim-b014-094,batch-014,placebo_time_horizon_near,placebo-time-horizon-near-b014-094,panel_settled,735,9817.4500,9817.4500,0.0000,-182.5500,0.0000,21.1700,6,6,2,4,6,0.3333,476.5500,-0.0183,6,0,1758081600,1789531200
sim-b014-049,batch-014,time_horizon_far,time-horizon-far-b014-049,panel_settled,736,9816.6400,9816.6400,0.0000,-183.3600,0.0000,124.7900,45,45,26,19,45,0.5778,4177.3600,-0.0183,45,0,1742529600,1788796800
sim-b019-032,batch-019,ablation_decision_frequency,ablation-decision-frequency-b019-032,panel_settled,736,9816.6400,9816.6400,0.0000,-183.3600,0.0000,124.7900,45,45,26,19,45,0.5778,4177.3600,-0.0183,45,0,1742529600,1788796800
sim-b007-027,batch-007,stop_loss_favorite,stop-loss-favorite-b007-027,panel_settled,738,9814.8200,9814.8200,0.0000,-185.1800,0.0000,56.3500,27,5,4,12,16,0.2500,604.1800,-0.0185,16,0,1742443200,1789185600
sim-b007-018,batch-007,favorite_exit,favorite-exit-b007-018,panel_settled,739,9812.7200,9812.7200,0.0000,-187.2800,0.0000,53.0600,27,5,7,9,16,0.4375,569.2800,-0.0187,16,0,1742443200,1789185600
sim-b001-092,batch-001,null_model,null-model-b001-092,panel_settled,740,9812.2400,9812.2400,0.0000,-187.7600,0.0000,105.3600,46,46,19,27,46,0.4130,3444.7600,-0.0188,46,0,1742443200,1788840000
sim-b007-080,batch-007,favorite_exit_reentry,favorite-exit-reentry-b007-080,panel_settled,741,9811.2400,9811.2400,0.0000,-188.7600,0.0000,85.0400,76,2,23,16,39,0.5897,305.5400,-0.0189,12,0,1742443200,1789531200
sim-b001-096,batch-001,null_model,null-model-b001-096,panel_settled,742,9810.6500,9810.6500,0.0000,-189.3500,0.0000,114.6000,45,45,18,27,45,0.4000,3279.3500,-0.0189,45,0,1742961600,1788847200
sim-b007-084,batch-007,favorite_exit_reentry,favorite-exit-reentry-b007-084,panel_settled,743,9808.9100,9808.9100,0.0000,-191.0900,0.0000,123.3800,92,4,19,29,48,0.3958,558.0900,-0.0191,12,0,1742443200,1789185600
sim-b011-010,batch-011,event_normalized,event-normalized-b011-010,panel_settled,744,9806.5100,9806.5100,0.0000,-193.4900,0.0000,5.5200,3,3,1,2,3,0.3333,193.4900,-0.0193,3,0,1759982400,1782273600
sim-b001-089,batch-001,null_model,null-model-b001-089,panel_settled,745,9803.8900,9803.8900,0.0000,-196.1100,0.0000,83.6200,46,46,18,28,46,0.3913,2956.1100,-0.0196,46,0,1743220800,1788883200
sim-b007-006,batch-007,favorite_exit,favorite-exit-b007-006,panel_settled,746,9801.3400,9801.3400,0.0000,-198.6600,0.0000,58.3700,30,2,5,11,16,0.3125,198.6600,-0.0199,16,0,1742443200,1789185600
sim-b007-012,batch-007,favorite_exit,favorite-exit-b007-012,panel_settled,747,9800.7100,9800.7100,0.0000,-199.2900,0.0000,57.6500,30,2,5,11,16,0.3125,201.7900,-0.0199,16,0,1742443200,1789185600
sim-b014-018,batch-014,time_age_max,time-age-max-b014-018,panel_settled,748,9799.7100,9799.7100,0.0000,-200.2900,0.0000,40.2900,12,12,1,11,12,0.0833,700.2900,-0.0200,12,0,1760284800,1788793200
